,text,sentiment
28,kamarnya kecil tapi bersih pelayanannya pun cepat tidak bertele tele,positive
29,saking nyamannya hotel ini saya memperpanjang waktu menginap saya sampai kali berturut turut,positive
30,hotelnya sangat bersih dan pelayanan yang diberikan sangat memuaskan mereka membersihkan kamarnya setiap hari ketika saya kembali ke hotel untuk beristirahat saya diberikan rasa nyaman karena kamar wangi dan rapi design interiornya unik dan menarik dengan harga yang diberikan hotel ini memberikan pengalaman menginap yang sangat nyaman,positive
31,yang sekian kalinya layanan dan hotelnya menyenangkan terima kasih,positive
32,pengalaman menginap di hotel ini sangat menyenangkan sangat puas sekali dengan kenyamanan dan kebersihan kamarnya,positive
33,lokasi strategis di tengah kota sehingga dekat kemana mana tempat makan juga banyak di sekitar hotel,positive
34,kamar nyaman dan bersih personal di bagian front office sangat sigap membant dan ramah saya akan menginap kembali di hotel yellow star gejayan,positive
35,pas kamarnya juga tempatnya nyaman sekali,positive
36,saya senang karena dapat upgrade room dari mereka,positive
37,hotelnya bersih dan semua petugasnya ramah banget makanannya enak enak sangat di luar ekspektasi dan harganya bersahabat tadinya hanya ingin semalam tapi extend jadi malam low cost accommodation yang tidak mengecewakan recommended,positive
38,kamarnya unik memuaskan saya pasti akan kembali lagi untuk menginap disana,positive
39,cukup nyaman menginap di hotel yellow star gejayan pelayanan yang cepat dan ramah lokasi strategis,positive
40,secara keseluruhan bagus kami dikasih upgrade room tidak tahu kenapa tapi semua bagus,positive
41,recommended cuma minta single dikasih double bed,positive
42,walau kamar kecil tapi bersih dan rapi cuma tidak ada pemanas air yang lain oke harga murah dan terjangkau,positive
43,lokasi stategis dekat kampus cari makanan juga gampang banyak pilihan fasilitas jadi far jadi bagus lah ya terimakasih yex yellow star hotel,positive
44,pelayanan baik bersih dan nyaman,positive
45,sangat nyaman posisi strategis kebersihan nomor dan staf yang ramah ramah,positive
46,desain kamar bagus untuk harga yang relatif murah bersih tempat sarapan dengan pemandangan atap,positive
47,low budget hotel dengan pelayanan memuaskan setimpal,positive
48,tempatnya dekat pusat kota nyaman pelayanannya oke parkirannya agak sempit tapi recommended,positive
49,hotelnya dekat dengan toko jadi bisa belanja kebutuhan dekat dengan rumah makan juga mau ke plaza ambarukmo juga dekat,positive
50,lokasinya sangat strategis dekat dengan uny dan ugm lokasinya juga banyak kuliner di sepanjang jalan pelayanannya sangat baik stafnya ramah ramah disediakan lobby yang cukup untuk menerima tamu dan yang paling saya suka kebersihan kamarnya sangat terjaga jadi sangat nyaman sekali untuk tinggal di hotel ini top lah,positive
51,tempatnya nyaman rapi dan mudah akses ke area kampus cocok untuk teman teman yang memiliki keperluan diarea kampaus ugm uny dan sekitarnya,positive
52,hotelnya bersih kamarnya nyaman dekat dengan pusat kota kali menginap disini dan saya sangat puas stafnya juga ramah dan membantu apalagi pas saya kirim paket ke hotel sebelum saya check in paket diterima dengan baik,positive
53,pelayanannya baik ramah banget hotelnya bersih,positive
54,hotel masih baru jadi semuanya masih bersih room kami diupgrade dari pesanan awal tanpa charge fee sarapan di roof top memberikan nuansa yang berbeda dari hotel lain recommended lah untuk jadi tempat stay di yogya harga terjangkau tapi tidak malu malu in kok pelayanannya oke,positive
55,hotel ini nyaman dan sangat ramah petugasnya,positive
56,hotelnya bagus instagramable gitu karena banyak lukisan di dinding diatasnya ada atap kafe yang nyaman banget kalau sore sore dikasih minuman selamat datang gratis teh keripik sudah kali kesini tidak pernah kecewa sama pelayanannya suasananya enak banget kamar bersih dan nyaman wifi juga sudah diperbaiki jadi lebih kencang dibanding bulan yang lalu,positive
57,ini ke kalinya saya menginap disini menyenangkan,positive
58,design bagus tempat bersih pelayanan check in mudah dan cepat,positive
59,cukup baik pelayanan cepat pas dikantong pokoknya,positive
60,staf ramah kamar bagus ac dingin dekat dengan bandara kamu kafe di lantai suasana nyaman banget sarapannya menunya standar sesuai dengan tarif secara keseluruhan bagus,positive
61,sangat nyaman tapi kamarnya agak sempit,positive
62,menyenangkan betah atapnya oke nobar wc rusia asyik disana makanannya lumayan oke kopinya oke kamar nyaman dan air panas free wifi pelayanannya juga baik semakin betah karena di seberang depan hotel ada masjidnya dekat ibadah dan untuk jum atan kami akan kembali,positive
63,tempatnya bersih dan nyaman pelayanannya sangat baik tempatnya juga strategis dekat dari kampus minimarket warung tempat print dan lain lain sangat puas terima kasih,positive
64,nyaman lokasi sangat strategis dekat dengan tempat makan jual cemilan dan apotek,positive
65,tempat yang nyaman dan roof top yang bisa dipake buat nongki ngobrol bareng temen sampai pagi ada beberapa tempat yang bisa dipake buat foto foto yang instagramable hanya tempat parkir saja yang agak kecil,positive
66,pelayanan hotel ramah dan baik kamar bersih dan rapi jet showernya kotor dan ada kebocoran air sedikit parkiran terbatas,positive
67,pengalaman luar biasa dengan harga terjangkau buat kantong pas pasan pelayanannya oke kamar tidurnya tidak kalah dengan kamar bintang lah kenyamanan jangan di tanya deh terimakasih traveloka dan yellow star tidak gejan,positive
68,menyenangkan check in praktis kamar bersih karena setiap hari dibersihkan,positive
69,nyaman bersih ac dingin ada spa juga membuat betah,positive
70,hotelnya melayani dengan sepenuh hati ruangan dan interiornya bagus,positive
71,bersih nyaman sesuai harga untuk daerah juga lumayan dekat dengan daerah daerah wisata,positive
72,akses tempat tujuan aku dekat dari penginapan makanannya enak bersih juga hanya pencahayaan dari lampu kamarnya terlalu minimalis jadi kalau ngaca kurang puas,positive
73,jadi far semua sudah oke hal yang terlewat seperti sabun cair lupa untuk diisi ulang dan resepsionis lupa menawarkan jenis tempat tidur twin single masih bisa dimaklumi,positive
74,pelayanan ramah tempatnya rapi nyaman buat liburan,positive
75,tempat yang bagus dan sangat bersih harga terjangkau tidak menyesal deh pokoknya menginap di sini,positive
76,bagus dan cukup memuaskan oke mantap bagus,positive
77,repemandangan dari pengguna yellow star sangat memuaskan dan saya ingin membuktikan ternyata sangat sesuai recommended place untuk spend vacation in yogyakarta,positive
78,bersih nyaman memuaskan okelah,positive
79,kamar dan yang lainnya sangat memuaskan,positive
80,kamarnya bagus dan bersih kami juga dapat kamar yang di upgrade untuk sarapan standar mungkin untuk rasa bisa lebih ditingkatkan,positive
81,oke hotelnya ac dingin pelayanan oke kok recommended hotel,positive
82,secara keseluruhan memuaskan tidak kecewa bermalam disini termasuk kreatif ini hotel banyak karya seni,positive
83,fasilitas dan kamar cukup bagus lain kali year menginap lagi,positive
84,resepsionisnya dan karyawan ramah cuma kalau pelayanan restoran terlalu saklek tapi karena bulan puasa mungkin,positive
85,tidak ada smoking room kamar dan pelayanan baik kamar nyaman wifi kencang,positive
86,kamar nyaman dan bersih lokasi strategis sekitarnya banyak tempat makan dan pusat perbelanjaan,positive
87,pengalaman menginap malam bersih staf ramah,positive
88,sangat strategis bersih dan sangat nyaman,positive
89,kamar nyaman pelayanan ramah lokasi strategis bisa buat foto bagus,positive
90,harga cukup terjangkau kamar bersih bed nyaman cukup dekat ke bandara,positive
91,tempatnya nyaman pelayannya ramah bersih,positive
92,nyaman seperti biasa sudah sering menginap disini lokasi strategis tempat nyaman resepsionis dan satpamnya ramah,positive
93,untuk harga budget fasilitas sudah kelas harga eksekutif puas pokoknya,positive
94,pelayanan baik fasilitas sesuai dengan foto yang tertera,positive
95,tempatnya asyik apalagi atapnya,positive
96,kamar yang minimalis dan nyaman lokasi dekat dengan banyak pilihan makanan mudah dijangka dari beberapa tujuan bisnis di jogja,positive
97,suka banget tidak menyesal deh,positive
98,pelayanannya sangat baik ramah dan suasanya sangat tenang,positive
99,pelayanan yang ramah ramah lokasi yang tidak jauh ke stasiun ka lebih dekat jika dengan tujuan malioboro kamar dan toilet bersih pemandangan dari lantai cukup bagus untuk bersantai santai top banget untuk yellow star,positive
100,dengan harga yang saya dapat saya merasa nyaman sekali kamar bersih lain kali bakal balik lagi,positive
101,semuanya memuaskan ini kedua kalinya saya menginap di hotel ini,positive
102,tempatnya bersih dan mudah dijangkau kendaraan umum,positive
103,nyaman ramah puless yellow star gejayan jogja istimewa,positive
104,bersih dan sangat nyaman pelayanan baik dan lokasi strategis,positive
105,menginap disana sangat enak nyaman banget bersih juga,positive
106,room bersih nyaman cuma kurang di chanel tv luar,positive
107,nyaman dan pelayanan ramah,positive
108,kamar bagus dan nyaman bantalnya banyak,positive
109,bersih dan bagus pemandangannya serta karyawan bagus,positive
110,kamar bagus ada tea time free di sore hari sarapan lumayan,positive
111,tidur dengan nyaman bersih layanan sopan,positive
112,secara keseluruhan oke semua pas pesan minta double bed tapi ternyata yang double bed sudah full booked kemudian saya ditawarkan upgrade kamar untuk dapat double bed ternyata bed di kamar yang saya dapat itu twin bed yang dijadikan satu,positive
113,bagus kamarnya nyaman receptionistnya boleh lebih ramah lagi,positive
114,nyaman banget beberapa kali menginap lalu menjadkan hotel ini pilihan pertama kalau ke jogja,positive
115,pelayanan baik kamarnya cukup bersih peralatan mandi sudah disediakan dapat sarapan gratis dan sky loungenya nyaman,positive
116,hotelnya nyaman bersih rapi sesuai budget lah pokoknya,positive
117,nyaman bersih pelayanan ramah,positive
118,nyaman bersih interior lucu,positive
119,kamar yang nyaman untuk beristirahat lokasi strategis mudah menemukan akses mencari makanan dekat dengan ugm tempat tujuan ke jogjakarta,positive
120,budget murah dengan fasilitas yang oke we will come back,positive
121,hotelnya bagus pelayanan staf ramah dan makanannya enak cuma jam sarapan agak terlambat minimal pukul wib,positive
122,semua pelayanananya cukup baik,positive
123,kamarnya bersih banget terus sarapannya enak,positive
124,keren pelayanan ramah lain kali time kalau maen ke jogja nginep disini lagi recommended,positive
125,pelayanan baik kamar juga bersih dan bagus,positive
126,mudah di jangkau pelayanan yang baik bersih suasananya yang nyaman,positive
127,hotel yang aman nyaman bersih harga oke terima kasih yellow star recommended buat yang mau liburan ke jogja,positive
128,tempat bermalam yang pas walaupun harga murah tapi pelayanan dan fasilitas tidak murahan,positive
129,dengan harga yang terjangkau cukup memuaskan,positive
130,menyenangkan kamar bersih rapi air hangat shower melimpah mudah cari makan di sekitar hotel wifi bagus koneksinya lancar sangat recommended hotel,positive
131,secara keseluruhan puas stafnya ramah kamar bersih walaupun kecil sesuai dengan harganya toiletries lengkap dapat voucher tea time di lantai bisa sambil melihat kota jogja makanan belum sempat coba,positive
132,sangat memuaskan dari pelayanan dan lain lain bagus,positive
133,nyaman tempat strategis pelayanan oke dan ramah,positive
134,hotelnya bagus pelayanan oke stafnya ramah ruangannya bersih okelah kalau mau menginap disini,positive
135,layanannya bagus tempatnya bersih dan dekat dengan berbagai tempat makan kamarnya juga bagus buat foto,positive
136,internet cukup cepat fasilitas cukup untuk backpacker macam saya chanel tv minimalis lokasi strategis bersih ac dingin bantal banyak front office ramah,positive
137,baik banget ada free upgrade dari hotelnya dari relaks room ke suite,positive
138,pelayanan baik kamar oke bersih dan pegawainya ramah ramah,positive
139,amat menyenangkan menginap di sini terjangkau dan sangat bagus saran saya ambil yang sekalian sarapan karena kalau pagi sebelum jam akan cukup sulit cari makan meskipun kalau malam sangat ramai tempat makan,positive
140,pilih double bed dapatnya twin bed karena ada acara pernikahan di lantai atas jadi ya tidak di layanin sudah yang lain oke semua mulai dari staf sampai kamarnya,positive
141,jadi far kamarnya bagus nyaman toilet bersih,positive
142,pelayanannya baik kamarnya bersih,positive
143,bagus dan strategis bersih dekat kemana mana,positive
144,sangat bagus dan rekomendasi banget,positive
145,suka banget sama ruang tunggu di lantai nya,positive
146,suka banget sama hotelnya dan pelayanannya,positive
147,luar biasa kamarnya dan kebersihannya semua staf juga oke banget,positive
148,kondisi ruangannya bagus dan enak,positive
149,hotel bersih dan pelayanan ramah,positive
150,dekat ke mana mana kamar nyaman,positive
151,kamar nyaman pelayanan ramah,positive
152,kamar nya bersih pegawai nya ramah wifi nya kenceng di tengah kota jos gandos pokonyaa rekomendasi,positive
153,secara keseluruhan luar biasa kamarnya bersih dan harganya reasonable,positive
154,bagus kok bersih tetap dijaga saja kenyamanannya,positive
155,dari saat check in kamar pemandangan kesopanan karyawan atap nya mantap makanan enak variasi ok saja kasur kebersihan ok banget terimakasih sudah bisa menitipkan bagasi setengah harian,positive
156,nyaman saya sih suka tempat ini,positive
157,kamar bersih nyaman dan indah,positive
158,lokasi strategis pelayanan ramah check in dan check out dilayani dengan cepat,positive
159,tempatnya sangat nyaman pelayanannya ramah lokasi dekat dengan kampus kampus,positive
160,pelayanan disini sangat memuaskan dan lokasinya sangat strategis karena berada di tengah kota yogyakarta sehingga akses ke tempat tempat lain menjadi lebih mudah,positive
161,kamarnya nyaman dan makanan enak,positive
162,pelayanan hotel ramah kamar bersih,positive
163,kamarnya bersih dan nyaman sekali,positive
164,puas banget luar biasa harga ditraveloka jauh murah dari harga aslinya dan tidak tanggung tanggung pihak hotel memberi pelayanan terbaik dan ketika kamar yang saya pesan habis pihak hotel menggantinya dengan kamar yang levelnya diatas dari tipe kamar hotel yang saya pesan loyalitas sekali lokasi sangat strategis pelayanan ramah baik bersih layaknya hotel bintang paling bagus dengan harga ditraveloka yang sangat terjangkau,positive
165,bersih strategis nyaman sederhana tapi berkesan,positive
166,memuaskan bersih ramah kamar nyaman,positive
167,sarapannya termasuk yang banyak pilihan untuk hotel budget kasurnya empuk bantalnya banyak lokasi dekat kemana mana bersih harum ruangan kedap karena tidak pernah terdengat suara dari kamar sebelah,positive
168,fasilitas baik cuma saat saya order sd x dapatnya bukan bed tapi bed untuk roof top nya ok banget,positive
169,tempat bersih nyaman senang nginep di sini,positive
170,pelayanan memuaskan kamar bagus,positive
171,baik nyaman dan aman kamarnya bersih dan pelayanannya baik,positive
172,hotelnya bersih lokasi strategis kamarnya luas recommended dengan harga terjangkau,positive
173,recommended untuk tempat menginap yang nyaman design moderd dan harga terjangkau,positive
174,kamar bersih rapi dan nyaman staf ramah,positive
175,karena tempatnya keren kamarnya rapi bersih wangi pkonya nyaman banget dan tpat nongkrongnya juga keren banget lhoo petugas yang jaga semuanya juga ramah baik dan yang enak lagi hotelnya deket dengan jalan raya dan yang tepat lagi deket dengan tempat warung makan,positive
176,salah satu budget hotel terbaik di jogja ekonomis namun kamar baik designed kasur nyaman amenities bersih dan harum terlebih lagi banyak stop kontak ini jarang saya temu bahkan di hotel high end proses check in sangat mudah saya rikues kamar tingkat atas dan langsung diganti sayang belum sempat coba makanannya mungkin lain kali,positive
177,pelayanannya oke lah nilainya pegawai ramah kamarnya bersih dan wangi,positive
178,sangat menyenangkan menginap disana puas banget,positive
179,recommended pelayanannya sangat memuaskan,positive
180,nyaman bersih pelayan nya ramah,positive
181,bagus bersih nyaman enak buat istitahat,positive
182,tempat nyaman lokasi strategis,positive
183,pelayanannya baik dan ramah kamarnya bersih dengan interior yang menarik dan membuat betah,positive
184,over semua sangat bagus sekali saya di upgrade ke kamar deluxe tanpa tambahan biaya tidak ribet pelayanan ramah tidak perlu deposit semua sangat memuaskan hanya saja kasur untuk double bed itu kasur twin bed dijadikan satu selebihnya baik sekali hotel recommended kalau ke jogja lagi,positive
185,hotel enak dan nyaman pelayanan ok banget pada ramah ramah tidak perlu pakai deposit pula tidak ribet lah dan room no smoking jadi baunya wangi,positive
186,nyaman bersih pelayanan baik,positive
187,selalu mantap menginap disini bagus lah,positive
188,sudah beberapa kali menginap disini sesuai harga proses check in check out cepat lokasi strategis banyak pilihan tempat makan karena berdekatan dengan kampus uny ugm sanata dharma atma jaya,positive
189,harga standar kamar bersih sprei wangi dengan harga tersebut sangat setimpal dekat kemana mana akses mudah ke mall atau wisata paling suka menginap disini,positive
190,nyaman bersih pelayanan mantap,positive
191,kamar nyaman bersih pelayanan ramah,positive
192,bersih banget setimpal dengan harganya,positive
193,kamar yang bersih dengan harga yang standart sangat puas,positive
194,akses mudah dan nyaman untuk menginap disitu,positive
195,hotel kecil tapi nyaman dan bersih letak strategis,positive
196,selama hari menginap di hotel its ok bagus pelayanannya bersih kamar wc nya juga cuma tidak ada konfirmasi sebelumnya kalau kamar bakalan dibersihin setiap hari jadikan kita kaget juga takutnya ada barang barang berharga kita,positive
197,nyaman pilih yang star room only kamarnya agak sempit tapi fine sih tidak sampai ke lantai atas soalnya hujan terus tapi secara keseluruhan suka banget,positive
198,rekomendasi buat temen temen yang cari hotel dengan high internet speed saya menginap saat weekday semoga kecepataan internet tetap sama saat occupancy tinggi lampu lampu depan kamar yang pojok tiap lantai mohon ditambah penerangannya biar tidak terkesan gelap,positive
199,nyaman makanannya juga lumayan cuma kamar lebih sempit dari fotonya tetapi comfort dan tidak berisik,positive
200,menyenangkan walaupun di beri nomor kamar paling ujung,positive
201,nyaman dan tenang jadi menginap di sini luar biasa,positive
202,sangat recommended hotel sangat setimpal dengan harganya room nya sangat nyaman wangi dan bersih terus tingkatkan ya besok lagi kalau berkunjung ke jogja pasti akan ke yellow star lagi,positive
203,bagus dan tingkatin lagi pelayanannya,positive
204,kamar yang nyaman untuk istirahat,positive
205,bagus tetapi tidak bisa merokok jika anda perokok disarankan untuk tidak menginap di hotel ini,positive
206,sangat memuaskan menginap disini pelayanannya ramah dan lokasi yang strategis serta romantis sekali tempatnya,positive
207,lokasi strategis dan dapat pemandangan kamar yang bagus karena arah timur pas pagi bisa liat sunrise pelayanan juga memuaskan dan ramah,positive
208,untuk menginap semalam cukup bagus,positive
209,keseluruhan bagus lain kali time ke yogya ingin balik sini lagi,positive
210,nyaman bersih pelayanan luar biasa,positive
211,kamar yang tepat untuk istirahat semua lancar,positive
212,bersih cuma agak beda sama di foto agak sempit ya tapi ya tidak apa lah buat yang minimal budget check in di sini saja,positive
213,selalu di hotel ini walaupun sudah mencoba hotel lain hotel ini paling nyaman dan best value,positive
214,sangat nyaman dan harganya ramah dengan kantong,positive
215,hotelnya bersih pelayanan bagus makanannya enak cuma sandal hotel dikasih saja kan ada orang yang menginap secara keseluruhan baguslah,positive
216,tempatnya nyaman resepsionisnya ramah pokok tidak menyesal menginap di sini,positive
217,sangat mengesankan menginap di yellow star gejayan room nya sesuai pesanan handuk bersih tidak bauk apek tata ruangnya bagus dekat dengan kota dan makanan banyak karena dekat kampus pemandangannya keren bisa liat sunset pegawainya sangat ramah dan membantu,positive
218,hotel yang deket dengan kampus mudah untuk akses kemana saja serta deket dengan tempat makan kamar dan kebersihan sangat baik untuk keramahan staf biasa saja sarapan baru dimulai jam,positive
219,bagus dan nyaman lokasi juga strategis,positive
220,hotelnya bersih pelayanan ok karyawan hotel ramah,positive
221,kamar bersih petugas nya ramah,positive
222,room dan kamar mandi bersih sarapan sesuai harga,positive
223,harga terjangkau kamar bagus dan letaknya di tengah kota,positive
224,resepsion ramah sekali barang barang langsung dibawa kekamar hotel nyaman banget dan aman,positive
225,bersih pelayanan bagus ramah,positive
226,secara keseluruhan hotelnya bagus dengan harga yang murah namun kualitas kamar sangat baik serta lokasinya strategis ditengah tengah jalan gejayan dekat dengan pusat pertokoan,positive
227,ramah nyaman variasi makanan banyak,positive
228,hotel bersih pelayan ramah top pokoknya,positive
229,cukup baik untuk sekedar liburan keluarga,positive
230,tidak bisa ngerepemandangan banyak karena cuma sehari suka saja sama kecepatan pelayanannya,positive
231,ini kedua kalinya menginap di hotel ini dan selalu puas pastinya bakal balik lagi kalau ke jogja pelayanannya ramah banget kamar nyaman dan bersih kamar dan tempat tidurnya juga super besar kafe di atapnya mantap banget deh tagih sumpah minuman selamat datangnya dinikmati dengan suasana sore malam jogja dan ada lampu lampu gitu kadang ada live music juga jadi semakin enak suasananya lampu memadai meja ada dan dari hotelnya disediakan sabun shampoo condi yang gede jadi tidak repot kecil kecil sumpah suka banget hotel ini juga instagrammable banget karena banyak lukisan di dinding dan banyak spot foto,positive
232,kamar nyaman dan pelayanan bagus ada atap yang cocok buat menikmati sunset dan malam hari,positive
233,tempat nya oke banget lokasi yang strategis,positive
234,fasilitas dan pelayanannya memuaskan,positive
235,minimalis bersih ramah dalam kota kemana mana dekat,positive
236,pengalaman menginap disini cukup menyenangkan staf hotel ramah dan sigap membantu saya membawakan koper kamar hotelnya juga nyaman serta kebersihannya oke lokasi hotel juga berada di tengah kota sehingga dekat dengan pusat kota secara keseluruhan puas banget sama hotel dan pelayanannya thank kamu yellow star gejayan hotel dan traveloka,positive
237,saya menginap untuk bisnis kunjungan kerja di jogjakarta kesan pertama saya kamar nyaman dan bersih senang menginap disini terima kasih,positive
238,hotel paling pas buat keliling area gejayan rapi bersih dan nyaman,positive
239,hotelnya bagus nyaman dan modern,positive
240,kamar dan pelayanan memuaskan,positive
241,hotelnya bagus bersih pelayaanan memuaskan dan harga cukup terjangkau,positive
242,hotelnya bagus bersih dan pelayanannya sangat ramah,positive
243,bersih ramah nyaman dan pelayannya sopan,positive
244,strategis nyaman bersih dan recommended,positive
245,mantap sekali hotelnya sangat nyaman sekali besok kalau ke jogja ketagihan menginap sana,positive
246,hotel bagus dan sudah ketiga kali nya kesini,positive
247,kamarnya bagus dan rapi tempatnya strategis,positive
248,bersih tempat oke harga terjangkau,positive
249,bagus dan harga kamar fluktuatif tergantung hari dan momen,positive
250,hotelnya sangat bersih dan nyaman,positive
251,lokasi nya strategis nyaman dan bersih pelayanan sangat baik untuk sarapan juga memuaskan mungkin nanti kalau ke jogja ke hotel ini lagi cuma tidak bisa cek in lebih awal saja mungkin karena lagi penuh juga room nya terima kasih yellow star,positive
252,thank kamu hotelnya nyaman dan rofftopnya asyik banget,positive
253,salah satu hotel yang nyaman untuk bermalam di kota yogyakarta dekat dengan tempat area makan dan mall,positive
254,lumayan sesuai harga nyaman,positive
255,menyenangkan es coklatnya di atap enak,positive
256,bersih dan nyaman recommended untuk istirahat saat liburan di jogja,positive
257,hotelnya bagus kamarnya kecil tapi pinter dekorasinya,positive
258,hotel bagus dengan harga yang murah,positive
259,sudah kedua kalinya disini dan dapat upgrade room free mantap,positive
260,recommended pokoknya ingin balik lagi kesana,positive
261,kebersihan oke sarapan variasi ada restoran atap secara keseluruhan oke,positive
262,recommended pelayanannya mantap,positive
263,check in sekitar jam kamar yang di pesan habis terus dapat free upgrade ke sweet room betapa beruntungnya aku,positive
264,nyaman dan strategis di tengah kota,positive
265,memuaskan bersih lokasi mudah di jangkau,positive
266,mantap pelayanan bagus kamar juga rapi dan bagus,positive
267,faslitas sangat memuaskan kamar bersih dan nyaman,positive
268,receptionnya ramah membantu dekat tempat makan dan trans yogya terima kasih,positive
269,memuaskan untuk harga semurah ini,positive
270,tempat sesuai dengan foto terbaik,positive
271,bersih nyaman ramah strategis recommended hotel bintang,positive
272,bagus banget kamar hotelnya dan tidak terlalu jauh juga dari malioboro,positive
273,bagus place tempat istirahat yang enak nyaman sekali,positive
274,over semua hotelnya nyaman sekali tempat tidur empuk kamar mandi oke banget lokasi strategis dan yang utama ada atapnya yang keren pas banget ujan jadi tidak bisa kemana mana terimakasih yellow star hotel ke yogyakarta bakal balik menginap disini,positive
275,kamarnya enak banget dapat upgrade ke deluxe free dan ini bukan pengalaman pertama tapi selalu senang kalau ke yellowstar selalu ingin kembali dan kembali,positive
276,nyaman design interior bagus makanan terasa enak,positive
277,selalu memuaskan kalau menginap disini,positive
278,kamarnya bersih pelayanannya memuaskan,positive
279,kamarnya bersih pegawainya ramah,positive
280,pelayanan terbaik di hotel ini,positive
281,kamarnya luas suasana nyaman,positive
282,nyaman bersih cocok buat transit,positive
283,sangat baik pelayanannya dan ramah ramah,positive
284,cukup memuaskan lokasi strategis satpamnya sopan banget,positive
285,kamar dan wc nya bersih anak anak juga senang menginap di yellow star gejayan,positive
286,bagus tapi murah pelayannya juga ramah,positive
287,untuk harga segitu sudah bagus hotelnya allahmdullh kamar bersih pokoknya memuaskan kakak kakaknya juga ramah ramah saya dan suami senang,positive
288,fasilitas kamar oke bangt recommended banget,positive
289,kamar bersih dan nyaman kamar mandi juga sangat bersih dekat dengan pusat kota gampang cari transport untuk kemana mana,positive
290,terima kasih yellow star menginap di hotel tersebut meninggalkan begitu banyak kesan bagi saya,positive
291,tempat bagus kamar lumayan dan kamar mandi besar,positive
292,pelayanan yang baik proses check in cepat harga yang menolong,positive
293,lumayan bagus lah sederhana tapi bagus cocok buat kalian yang lagi liburan,positive
294,nyaman sebagai tempat istirahat bersih ramah,positive
295,saya suka kamarnya bersih dan rapi staf yang bekerja juga mencirikan kearifan lokal yogyakarta yang sopan dan beradab mengesankan,positive
296,kamar yang bagus dengan harga yang terjangkau,positive
297,memuaskan lebih ditingkatkan lagi,positive
298,memuaskan pelayanan juga bagus rekomendasi,positive
299,dengan rate harga tidak sampai rb hotel ini layak untuk di rekomendasikan tempatnya bersih dan nyaman deket kampus sadhar dan uny,positive
300,bagus pelayanan dengan harga yang terjangkau tapi bisa dapat hotel bintang dengan pelayanan memuaskan dan fasilitas yang lengkap,positive
301,kamarnya bagus bersih dan sesuai harga,positive
302,listrik di kamar sempat mati saklarnya rusak namun penanganan dilakukan dengan baik terima kasih,positive
